,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,228_store_name,229_store_picture,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,97_number_of_customers_in_store,268_number_fridges,184_store_devices,104_how_many_shelves_does_the_micro_retailer_have,pictures_of_shelves_if_possible,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,2_current_permanent_employees,4_number_permanent_employees_last_year,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,103_number_own_fridges,19_tax_id,145_number_direct_competitors,310_burnout,24_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,276_expected_days_informal_credit,35_interest_rate,36_credit_default_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,172_supplier_frequency,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,157_frequency_organize_shelves,158_charact_organize_products_on_shelves,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,234_willingness_participate_workshop,318_shopkeeper_name,319_shopkeepers_last_name,236_whatsapp,235_email
0,,,,,,19.0535362706,-98.233822273,,,,,,,2.0,0.0,,4.0,,,,,2.0,2.0,,,,,,,1.0,,3.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,10.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2224524020.0,
1,,,,,,19.0535610353,-98.2341421351,,,,,,,0.0,4.0,,8.0,,,,,1.0,1.0,,,,,,,1.0,,4.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,10.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,6.6,,,,,,,,,,,,,,2224524020.0,
2,,,,,,19.058654656,-98.232299887,,,,,,,0.0,0.0,,4.0,,,,,2.0,2.0,,,,,,,1.0,,0.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,10.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,6.6,,,,,,,,,,,,,,2224524020.0,
3,,,,,,19.0592929035,-98.2331576513,,,,,,,0.0,0.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,,4.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,15.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2224524020.0,
4,,,,,,19.0595846029,-98.2338639604,,,,,,,0.0,0.0,,16.0,,,,,0.0,0.0,,,,,,,1.0,,0.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,15.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2224524020.0,
5,,,,,,19.0595598862,-98.2340100497,,,,,,,0.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,,2.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,30.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,2224524020.0,
6,,,,,,19.0590374022,-98.233027074,,,,,,,1.0,0.0,,2.0,,,,,2.0,2.0,,,,,,,2.0,,0.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,30.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2224524020.0,
7,,,,,,19.0607069876,-98.2298178552,,,,,,,0.0,2.0,,12.0,,,,,0.0,0.0,,,,,,,2.0,,6.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,7.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,45.0,,,,,,,,,,,,,,2224524020.0,
8,,,,,,19.0594737148,-98.2252770749,,,,,,,0.0,0.0,,8.0,,,,,1.0,1.0,,,,,,,2.0,,2.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,15.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2224524020.0,
9,,,,,,19.0588832074,-98.2242125705,,,,,,,0.0,1.0,,5.0,,,,,1.0,1.0,,,,,,,2.0,,1.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,30.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,2224524020.0,
10,,,,,,19.0203363,-98.2609888,,,,,,,3.0,0.0,,6.0,,,,,1.0,1.0,,,,,,,2.0,,3.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,2223297491.2,
11,,,,,,19.0203285,-98.2611121,,,,,,,1.0,0.0,,3.0,,,,,1.0,1.0,,,,,,,2.0,,4.0,,4.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,1.0,,2.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2223297491.2,
12,,,,,,19.0204215,-98.2609604,,,,,,,2.0,0.0,,3.0,,,,,2.0,4.0,,,,,,,2.0,,4.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2223297491.2,
13,,,,,,19.020395,-98.2608668,,,,,,,3.0,0.0,,1.0,,,,,1.0,2.0,,,,,,,2.0,,6.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2223297491.2,
14,,,,,,19.0205671,-98.2608038,,,,,,,0.0,0.0,,2.0,,,,,5.0,2.0,,,,,,,2.0,,2.0,,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,,7.0,50.0,5.7,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2225416928.0,
